asin,stars,title,text,date,verified,helpful,scraped_at
B0D795G32G,5.0,5.0 out of 5 stars,Looks super premium and classy. Worth the money. Wheels are smooth to carry. Build is solid. Can be easily carried as a cabin bag. Handles are rock solos as well. The compartments are very organised and many pockets are given.,14 June 2025,False,One person found this helpful,2026-04-02T09:15:21
B0D795G32G,5.0,5.0 out of 5 stars,"Quality at a very competitive price.its the most value for money luggage brand in India currently.the designs are uber cool and fit and finish are top class.And the luggage comes in colors that you dont see in other brands,none of the old boring shades.would definitely recommend them to anyone looking to buy luggage for their trips.",11 January 2026,False,,2026-04-02T09:15:21
B0D795G32G,4.0,4.0 out of 5 stars,"Looks good, feels good. Have already used on couple of trips, and so far so good.",29 September 2025,False,One person found this helpful,2026-04-02T09:15:22
B0D795G32G,5.0,5.0 out of 5 stars,"I recently purchased the Urban Jungle by Safari Cabin Trolley Bag, and it has exceeded my expectations in every way.

Pros:

✅ Stylish & Eye-Catching – The Urban Yellow color is vibrant and makes it easy to spot at baggage claim. It has a sleek, modern design that stands out.
✅ Sturdy & Durable – Made of hardside polycarbonate, the suitcase feels tough yet lightweight, providing excellent protection for belongings.
✅ Smooth Mobility – The 8 spinner wheels glide effortlessly, making it easy to maneuver through airports and crowded spaces.
✅ USB Charging Port – A convenient feature for keeping my phone and devices charged on the go.
✅ TSA Lock for Security – Adds peace of mind while traveling, especially for international trips.

Cons:

⚠️ Limited Space for Longer Trips – Ideal for short getaways but may be small for extended vacations.
⚠️ No Built-in Power Bank – The USB port is great, but you’ll need to carry your own power bank.

Final Verdict:

If you're looking for a compact, stylish, and functional carry-on with great security features, this is a fantastic choice. The Urban Jungle Trolley Bag delivers on durability, convenience, and aesthetics. Highly recommended for frequent travelers!",16 February 2025,False,5 people found this helpful,2026-04-02T09:15:22
B0D795G32G,1.0,1.0 out of 5 stars,"After the first use, I noticed that the zipper was not stitched properly, and it comes open on its own. I tried to find a way to contact support, but there doesn’t seem to be any option to book a service request or call for assistance. Could you please help me with the next steps?",4 October 2025,False,8 people found this helpful,2026-04-02T09:15:22
B0D795G32G,5.0,5.0 out of 5 stars,"Product is really nice and sturdy, at this price it's a good deal by amazon for safari trolley bag",4 February 2026,False,,2026-04-02T09:15:22
B0D795G32G,4.0,4.0 out of 5 stars,Decent quality for the price. The extending handle is slightly wobbly and could have been better. The wheels are very smooth.,10 March 2026,False,,2026-04-02T09:15:22
B0D7981Z36,5.0,5.0 out of 5 stars,Looks super premium and classy. Worth the money. Wheels are smooth to carry. Build is solid. Can be easily carried as a cabin bag. Handles are rock solos as well. The compartments are very organised and many pockets are given.,14 June 2025,False,One person found this helpful,2026-04-02T09:16:04
B0D7981Z36,5.0,5.0 out of 5 stars,"Quality at a very competitive price.its the most value for money luggage brand in India currently.the designs are uber cool and fit and finish are top class.And the luggage comes in colors that you dont see in other brands,none of the old boring shades.would definitely recommend them to anyone looking to buy luggage for their trips.",11 January 2026,False,,2026-04-02T09:16:04
B0D7981Z36,4.0,4.0 out of 5 stars,"Looks good, feels good. Have already used on couple of trips, and so far so good.",29 September 2025,False,One person found this helpful,2026-04-02T09:16:04
