asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B097JLKP8X,Safari,"Safari Cabin Trolley Bag with Laptop Compartment, Hardside Polycarbonate Small (55cm) Suitcase | 360° 8 Wheel Spinner Travel Luggage| Recessed Combination Lock|Thorium Neo| Vanilla",2999.0,8800.0,65.9,4.1,1345,2026-07-24T14:14:03
B0FDG7HRNS,Safari,"Safari Polyester in-Line Skate Sprinter Cabin Size Duffle Trolley Bag, Soft Carry-On Luggage, 2 Wheel Travel Duffle Bag for Men & Women, 5 Years Warranty, Grey, 55Cm",999.0,5000.0,80.0,4.0,329,2026-07-24T14:14:54
B0FLYFYT23,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",4499.0,27997.0,83.9,4.1,8126,2026-07-24T14:15:21
B0FLYHVT6Y,Safari,"Safari Genius Alley 55cm Cabin Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase, Trolley Bags, Flintstone Softline (Grey)",1499.0,6999.0,78.6,4.1,8126,2026-07-24T14:15:55
B097GSSCLC,Safari,"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",1899.0,8999.0,78.9,4.1,22672,2026-07-24T14:16:26
B0F67KYF8J,Safari,"Safari Genius Alley Set of 3 (Cabin+ Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",4999.0,27997.0,82.1,4.1,8126,2026-07-24T14:16:57
B0F67L3Y72,Safari,"Safari Medium Genius Alley 66cm Size Check-in Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Black",1999.0,8999.0,77.8,4.1,8126,2026-07-24T14:17:30
B097GK5B5Z,Safari,"Safari Pentagon Pro 8 Wheels Set of 3 Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Check in Luggage, Suitcase for Travel, Trolley Bags for Travel, Rose Gold",5499.0,33997.0,83.8,4.1,22672,2026-07-24T14:18:02
B097JMXLT9,Safari,"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",2599.0,9800.0,73.5,4.1,4768,2026-07-24T14:18:35
B097BG27MD,Safari,"Safari Pentagon Pro 8 Wheels Spinner 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360° Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1899.0,8999.0,78.9,4.1,22672,2026-07-24T14:19:29
